,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
116,2023-08-08 00:00:00-04:00,133.09443302917478,14.927443583781299,1.0,2023-08-09 00:00:00-04:00,133.70659840393066,9.138064095612664
117,2023-08-10 00:00:00-04:00,136.0448797302246,14.604465470757196,-1.0,2023-08-11 00:00:00-04:00,136.07997479248044,-0.5125446249094071
118,2023-08-15 00:00:00-04:00,136.119534576416,14.595796400734079,1.0,2023-08-22 00:00:00-04:00,136.61712185668947,7.262682634466696
119,2023-08-22 00:00:00-04:00,136.61712185668947,14.543115996856931,-1.0,2023-08-24 00:00:00-04:00,134.0335884094238,37.57262660534423
120,2023-08-24 00:00:00-04:00,134.0335884094238,14.828457585467872,1.0,2023-08-29 00:00:00-04:00,138.17598623657227,61.42537048200538
121,2023-08-29 00:00:00-04:00,138.17598623657227,14.392219758065625,-1.0,2023-08-30 00:00:00-04:00,139.03588490295408,-12.37585057623456
122,2023-08-31 00:00:00-04:00,138.0967142486572,14.398111201466392,1.0,2023-09-07 00:00:00-04:00,138.0773148651123,-0.27931448151947946
123,2023-09-11 00:00:00-04:00,137.58265089416503,14.451289616897073,1.0,2023-10-19 00:00:00-04:00,131.5952322692871,-86.52592060571462
124,2023-10-20 00:00:00-04:00,129.20924984741208,15.373809684018786,1.0,2023-10-24 00:00:00-04:00,131.88135333251952,41.08041043604514
125,2023-10-25 00:00:00-04:00,129.2191474304199,15.378369112850127,1.0,2023-10-30 00:00:00-04:00,131.86161296081542,40.63681029440569
126,2023-11-01 00:00:00-04:00,134.2591001586914,14.806535866566833,-1.0,2023-11-06 00:00:00-05:00,136.96971862792967,-40.134869585354714
127,2023-11-07 00:00:00-05:00,138.77781605529785,14.318060492784523,-1.0,2023-11-09 00:00:00-05:00,140.82522433471678,-29.31491559814814
128,2023-11-10 00:00:00-05:00,143.15841032409668,13.8752784070629,-1.0,2023-11-13 00:00:00-05:00,143.3758070373535,-3.0164399212187716
129,2023-11-14 00:00:00-05:00,145.68415658569336,13.633760887045126,-1.0,2023-11-16 00:00:00-05:00,146.89519204711914,-16.510967906811448
130,2023-11-20 00:00:00-05:00,151.24868536376954,13.12945598600316,-1.0,2023-11-21 00:00:00-05:00,150.7606106109619,6.408155984867391
131,2023-11-22 00:00:00-05:00,151.41308738708494,13.115522907951483,1.0,2023-11-24 00:00:00-05:00,152.12677368164063,9.360368945336106
132,2023-11-27 00:00:00-05:00,153.17277989196776,12.965550428010447,1.0,2023-11-28 00:00:00-05:00,154.20853688049317,13.429159465890397
133,2023-11-29 00:00:00-05:00,156.50736795043946,12.690509742307174,-1.0,2023-11-30 00:00:00-05:00,157.30509716796874,-10.12359040677841
134,2023-12-04 00:00:00-05:00,157.45339289855954,12.612469763584377,1.0,2023-12-27 00:00:00-05:00,153.81388188171385,-45.90322265419847
135,2023-12-28 00:00:00-05:00,152.56972993469236,13.009655168961547,1.0,2024-01-08 00:00:00-05:00,150.51858123779297,-26.68473724692588
136,2024-01-10 00:00:00-05:00,153.75469125366212,12.905407979813145,-1.0,2024-01-16 00:00:00-05:00,155.03134130859374,-16.475689806343443
137,2024-01-16 00:00:00-05:00,155.03134130859374,12.796495138999658,1.0,2024-01-18 00:00:00-05:00,158.28326971435547,41.6132860367049
138,2024-01-19 00:00:00-05:00,161.2628616027832,12.306676595378985,-1.0,2024-01-22 00:00:00-05:00,161.3484583892822,-1.0534119690468506
139,2024-01-23 00:00:00-05:00,161.51651873779295,12.286727242490132,1.0,2024-01-24 00:00:00-05:00,172.27352265930176,132.1683731299755
140,2024-01-24 00:00:00-05:00,172.27352265930176,11.534394397543362,-1.0,2024-01-26 00:00:00-05:00,171.69902383422848,6.626496029320456
141,2024-01-30 00:00:00-05:00,173.7256455993652,11.438287809327868,1.0,2024-02-22 00:00:00-05:00,179.2587941894531,63.28974606520216
142,2024-02-26 00:00:00-05:00,185.00091009521483,10.747563227513416,-1.0,2024-02-27 00:00:00-05:00,187.0123565368652,-21.618147810394312
143,2024-02-28 00:00:00-05:00,184.54086285400388,10.771579909053287,1.0,2024-03-07 00:00:00-05:00,192.9530635070801,90.61269154560067
144,2024-03-08 00:00:00-05:00,190.78878849792477,10.427906147379508,1.0,2024-04-23 00:00:00-04:00,185.49422122192382,-55.21125064512465
145,2024-04-23 00:00:00-04:00,185.49422122192382,10.71917424402484,-1.0,2024-04-25 00:00:00-04:00,182.9788776245117,26.962406304252703
146,2024-04-25 00:00:00-04:00,182.9788776245117,10.869042142655172,1.0,2024-05-08 00:00:00-04:00,187.7634493560791,52.003711784962505
147,2024-05-09 00:00:00-04:00,189.80019102478025,10.483470028820769,1.0,2024-06-06 00:00:00-04:00,192.84695329284668,31.940640922216414
148,2024-06-06 00:00:00-04:00,192.84695329284668,10.320739651361816,-1.0,2024-06-07 00:00:00-04:00,191.2911061096191,16.057493715396372
149,2024-06-07 00:00:00-04:00,191.2911061096191,10.405946706426565,1.0,2024-06-12 00:00:00-04:00,197.00279695129396,59.4355505020532
150,2024-06-13 00:00:00-04:00,192.61241816711424,10.340314369340813,1.0,2024-07-23 00:00:00-04:00,214.5452345123291,226.79221601453827
151,2024-07-23 00:00:00-04:00,214.5452345123291,9.303980120471714,-1.0,2024-07-24 00:00:00-04:00,209.60939389038083,45.922963024423474
152,2024-07-24 00:00:00-04:00,209.60939389038083,9.527073632133476,1.0,2024-12-04 00:00:00-05:00,253.3563906097412,416.7808589300478
153,2024-12-05 00:00:00-05:00,255.79553327941892,7.839118638504012,1.0,2025-04-23 00:00:00-04:00,271.2085309753418,120.82431751332824
154,2025-04-23 00:00:00-04:00,271.2085309753418,7.402220670418015,-1.0,2025-04-24 00:00:00-04:00,273.8235377807617,-19.356857428363035
155,2025-04-25 00:00:00-04:00,278.22796221923824,7.213788117731914,1.0,2025-04-28 00:00:00-04:00,285.0646560974121,49.318461062941324
156,2025-04-30 00:00:00-04:00,292.4821924438476,6.865315973083492,1.0,2025-05-01 00:00:00-04:00,288.6410626831055,-26.370569501109447
